Full Name,Privy ID,Email Address,Employment Status,Join Date,Job Title,Level,Directorate,Division,Homebase,Direct Leader,Direct Leader Job Title,Direct Leader Employee ID,PIC HRBP,HRBP PrivyID,Role in System,Role in Organization
Rivaldi Rafly Widyasthana,JA1473,adnan_test7@yopmail.com,Permanent,20-Jul-2020,Talent Acquisition & Business Partner Officer,Officer,Chief Human Resource Officer,Human Resource,Yogyakarta,Dhewandono Widya Wardono,Talent Acquisition & Business Partner Manager,ARS0000,Rivaldi Rafly Widyasthana,JA1473,Admin,Non leader
Toha Assegaf,ASN4792,adnan_test8@yopmail.com,Permanent,12-Sep-2018,Marketing Engineer Associate,Officer,Chief Revenue Officer,Marketing,Yogyakarta,Elisabeth Vialliarvin Susilo,Performance Marketing Manager,AGD8504,Irene Claudia Frine,ATR6220,Employee,Non leader
Tri Sabila Faiz,ASG2997,adnanteststg@yopmail.com,Permanent,2-Jan-2020,VP Human Resource,Vice President,Chief Human Resource Officer,Human Resource,Yogyakarta,Rahmawati,Chief Executive Officer,DEVAL1779,Rivaldi Rafly Widyasthana,JA1473,Leader,Leader
Vania Raissa Araminta,ASA4864,adnanteststg1@yopmail.com,Permanent,17-Mei-2021,TA Operations Officer,Officer,Chief Human Resource Officer,Human Resource,Yogyakarta,Dhewandono Widya Wardono,Talent Acquisition & Business Partner Manager,ARS0000,Rivaldi Rafly Widyasthana,JA1473,Admin,Non leader
Winditya Zahra Irwanto,ASA6660,adnanteststg3@yopmail.com,Permanent,11-Jan-2022,Social Media Officer,Officer,Chief Revenue Officer,Marketing,Jakarta,Indria Anggraini,Social Media Manager,AET2922,Irene Claudia Frine,ICF6310,Employee,Non leader
Yunita Suci Hadiyanti,ASG6664,adnanteststg4@yopmail.com,Permanent,13-Feb-2017,Organization and Development Officer,Officer,Chief Human Resource Officer,Human Resource,Yogyakarta,Arsala Majid,Organization and Development Manager,TMA8504,Rivaldi Rafly Widyasthana,JA1473,Employee,Non leader
Aini Latifah,AST6665,adnanteststg5@yopmail.com,Permanent,18-Jun-2019,Social Media Specialist,Senior Officer,Chief Revenue Officer,Marketing,Yogyakarta,Indria Anggraini,Social Media Manager,AET2922,Irene Claudia Frine,ATR6220,Employee,Non leader
Destia Feninataya Bahar,ARS0080,adnanteststg6@yopmail.com,Permanent,28-Feb-2019,Head of Marketing,Senior Manager,Chief Revenue Officer,Marketing,Jakarta,Ardhi Kusuma Wisnu Wardhana,VP Marketing,ASA8504,Irene Claudia Frine,ATR6220,Leader,Leader
Tika,ARS0011,adnanteststg7@yopmail.com,Permanent,1-Mei-2017,Chief Revenue Officer,C-Level,Chief Revenue Officer,C-Level,Yogyakarta,Rahmawati,Chief Executive Officer,DEVAL1779,Irene Claudia Frine,ATR6220,,Leader
Adwan Sopyar,ASA0004,adnanteststg8@yopmail.com,Permanent,1-Sep-2017,Marketing Manager,Manager,Chief Revenue Officer,Marketing,Yogyakarta,Destia Feninataya Bahar,Head of Marketing,ARS0080,Irene Claudia Frine,ATR6220,Leader,Leader
Chairunnisa Latifa,ASA0066,adnanteststg11@yopmail.com,Permanent,7-Jul-2022,Head of People and Development,Senior Manager,Chief Human Resource Officer,Human Resource,Jakarta,Tri Sabila Faiz,VP Human Resource,ASG2997,Rivaldi Rafly Widyasthana,JA1473,Super Admin,Leader
